backbone,dataset,horizon,baseline_mse,steps_mse
iTransformer,ETTh1,96,.4507,.3928
PatchTST,ETTh1,96,.4312,.3812
iTransformer,ETTh1,192,.5078,.4487
PatchTST,ETTh1,192,.4955,.4358
iTransformer,ETTh1,336,.5658,.4955
PatchTST,ETTh1,336,.5559,.4848
iTransformer,ETTh1,720,.7038,.5836
PatchTST,ETTh1,720,.7117,.5810
iTransformer,ETTh2,96,.2577,.1978
PatchTST,ETTh2,96,.2362,.1933
iTransformer,ETTh2,192,.3161,.2368
PatchTST,ETTh2,192,.2826,.2236
iTransformer,ETTh2,336,.3545,.2730
PatchTST,ETTh2,336,.3199,.2501
iTransformer,ETTh2,720,.4276,.3119
PatchTST,ETTh2,720,.4264,.3005
iTransformer,ETTm1,96,.3823,.3384
PatchTST,ETTm1,96,.4024,.3498
iTransformer,ETTm1,192,.4423,.3615
PatchTST,ETTm1,192,.4512,.3670
iTransformer,ETTm1,336,.5093,.4187
PatchTST,ETTm1,336,.5081,.4130
iTransformer,ETTm1,720,.6065,.4873
PatchTST,ETTm1,720,.5629,.4712
iTransformer,ETTm2,96,.1647,.1342
PatchTST,ETTm2,96,.1584,.1299
iTransformer,ETTm2,192,.2209,.1663
PatchTST,ETTm2,192,.2059,.1583
iTransformer,ETTm2,336,.2727,.2041
PatchTST,ETTm2,336,.2458,.1897
iTransformer,ETTm2,720,.3451,.2466
PatchTST,ETTm2,720,.3268,.2434
iTransformer,Exchange,96,.0882,.0471
PatchTST,Exchange,96,.0867,.0429
iTransformer,Exchange,192,.1811,.0890
PatchTST,Exchange,192,.1877,.0858
iTransformer,Exchange,336,.3428,.1608
PatchTST,Exchange,336,.3389,.1517
iTransformer,Exchange,720,.8540,.4116
PatchTST,Exchange,720,.8648,.4372
iTransformer,Weather,96,.1755,.1355
PatchTST,Weather,96,.1742,.1523
iTransformer,Weather,192,.2232,.1746
PatchTST,Weather,192,.2195,.1907
iTransformer,Weather,336,.2800,.2098
PatchTST,Weather,336,.2766,.2212
iTransformer,Weather,720,.3571,.2734
PatchTST,Weather,720,.3544,.2862
DLinear,ETTh1,96,.4695,.4054
OLS,ETTh1,96,.4511,.3902
DLinear,ETTh1,192,.5213,.4588
OLS,ETTh1,192,.5046,.4432
DLinear,ETTh1,336,.5659,.4991
OLS,ETTh1,336,.5510,.4843
DLinear,ETTh1,720,.7117,.5812
OLS,ETTh1,720,.6997,.5688
DLinear,ETTh2,96,.2323,.1845
OLS,ETTh2,96,.2306,.1836
DLinear,ETTh2,192,.2862,.2225
OLS,ETTh2,192,.2839,.2207
DLinear,ETTh2,336,.3252,.2554
OLS,ETTh2,336,.3258,.2552
DLinear,ETTh2,720,.4087,.2978
OLS,ETTh2,720,.4162,.2960
DLinear,ETTm1,96,.3715,.3293
OLS,ETTm1,96,.3710,.3287
DLinear,ETTm1,192,.4438,.3564
OLS,ETTm1,192,.4439,.3562
DLinear,ETTm1,336,.5183,.4137
OLS,ETTm1,336,.5182,.4133
DLinear,ETTm1,720,.5929,.4848
OLS,ETTm1,720,.5922,.4844
DLinear,ETTm2,96,.1598,.1322
OLS,ETTm2,96,.1602,.1325
DLinear,ETTm2,192,.1930,.1546
OLS,ETTm2,192,.1936,.1547
DLinear,ETTm2,336,.2324,.1835
OLS,ETTm2,336,.2331,.1837
DLinear,ETTm2,720,.3062,.2285
OLS,ETTm2,720,.3066,.2279
DLinear,Exchange,96,.0913,.0475
OLS,Exchange,96,.0814,.0431
DLinear,Exchange,192,.1827,.0892
OLS,Exchange,192,.1727,.0835
DLinear,Exchange,336,.3277,.1559
OLS,Exchange,336,.3226,.1483
DLinear,Exchange,720,.8873,.3939
OLS,Exchange,720,.8366,.3799
DLinear,Weather,96,.1954,.1491
OLS,Weather,96,.1957,.1489
DLinear,Weather,192,.2403,.1876
OLS,Weather,192,.2404,.1874
DLinear,Weather,336,.2918,.2171
OLS,Weather,336,.2921,.2170
DLinear,Weather,720,.3643,.2765
OLS,Weather,720,.3644,.2763
FreTS,ETTh1,96,.4462,.3976
TimeMixer,ETTh1,96,-,.3928
FreTS,ETTh1,192,.5022,.4445
TimeMixer,ETTh1,192,-,.4487
FreTS,ETTh1,336,.5544,.4888
TimeMixer,ETTh1,336,-,.4921
FreTS,ETTh1,720,.7182,.5857
TimeMixer,ETTh1,720,-,.5783
FreTS,ETTh2,96,.2384,.1913
TimeMixer,ETTh2,96,-,.1871
FreTS,ETTh2,192,.2866,.2271
TimeMixer,ETTh2,192,-,.2253
FreTS,ETTh2,336,.3317,.2608
TimeMixer,ETTh2,336,-,.2586
FreTS,ETTh2,720,.4119,.3004
TimeMixer,ETTh2,720,-,.3000
FreTS,ETTm1,96,.3675,.3295
TimeMixer,ETTm1,96,-,.3452
FreTS,ETTm1,192,.4325,.3542
TimeMixer,ETTm1,192,-,.3656
FreTS,ETTm1,336,.5005,.4091
TimeMixer,ETTm1,336,-,.4162
FreTS,ETTm1,720,.5704,.4707
TimeMixer,ETTm1,720,-,.4777
FreTS,ETTm2,96,.1581,.1313
TimeMixer,ETTm2,96,-,.1289
FreTS,ETTm2,192,.1923,.1553
TimeMixer,ETTm2,192,-,.1525
FreTS,ETTm2,336,.2320,.1842
TimeMixer,ETTm2,336,-,.1811
FreTS,ETTm2,720,.3012,.2275
TimeMixer,ETTm2,720,-,.2270
FreTS,Exchange,96,.0828,.0434
TimeMixer,Exchange,96,-,.0436
FreTS,Exchange,192,.1734,.0838
TimeMixer,Exchange,192,-,.0853
FreTS,Exchange,336,.3240,.1489
TimeMixer,Exchange,336,-,.1518
FreTS,Exchange,720,.8368,.3747
TimeMixer,Exchange,720,-,.4001
FreTS,Weather,96,.1856,.1436
TimeMixer,Weather,96,-,.1333
FreTS,Weather,192,.2310,.1815
TimeMixer,Weather,192,-,.1686
FreTS,Weather,336,.2843,.2139
TimeMixer,Weather,336,-,.2015
FreTS,Weather,720,.3599,.2708
TimeMixer,Weather,720,-,.4328
